id;uid;active;c_attachment_id;ad_organization_id;bidding_submission_id;bidding_sub_criteria_id
1;f315eaf2-bea2-41ea-8e55-063da4c35595;true;1;1;1;1
2;76390f8c-6790-4e33-b785-79755bcf9261;false;2;2;2;2
3;f049b340-1c8c-4d1c-80ec-43c011477818;false;3;3;3;3
4;894629ea-ee1e-47ec-ae26-89031ac24258;false;4;4;4;4
5;3248395e-2e5e-49b1-b43c-bab3a4060826;true;5;5;5;5
6;04e68583-772f-4724-bd6b-49cdd1a60821;true;6;6;6;6
7;2d31ae3a-ae45-44c6-ba6d-a3578f98d041;true;7;7;7;7
8;8a7a54d5-b94e-4d00-a0ba-2ef8b1ab4536;false;8;8;8;8
9;6aca59db-893a-4e15-b864-6823b82be9a6;false;9;9;9;9
10;9ef368b4-8157-403c-98aa-99a802532454;true;10;10;10;10
