id;name;type;uid;active;ad_organization_id
1;empower Fantastic;parse Avon;ee95df68-7a4d-4a26-9839-3b5d139c64f7;true;1
2;users Cambridgeshire;South Carolina;fb4a9be7-b6e1-4d81-b883-e09768444326;false;2
3;Utah Ethiopia;Borders Intranet;379fc806-5e33-4a60-817b-4a1231e33678;true;3
4;matrices Quality New Taiwan Dollar;Buckinghamshire Alley;226ce7e3-bf9d-4eef-a6c4-9b6d5c28e568;true;4
5;Director;Metrics;dc129871-63ee-4a19-a3e7-404e075ff5d3;false;5
6;JSON Practical Plastic Chicken;Licensed;3f7c95c9-2a7f-4033-8d35-4b1164f347d5;false;6
7;Tuna Awesome Cotton Keyboard RAM;card Trinidad and Tobago Dollar Spur;0e1e5a33-7ed6-434b-bbca-a6391349dbc3;false;7
8;attitude-oriented Factors mobile;Ergonomic Wooden Gloves Rwanda Franc Robust;f631ccba-7093-4a85-b2e4-a1a94833e6cf;false;8
9;morph Versatile;Frozen capacitor Western Sahara;aa136944-f54a-4ec1-a48c-ba49e0bf1ad9;true;9
10;white Granite;Intelligent View;8d44aeaf-e47b-4612-a410-6f16bb436fae;false;10
