id;document_no;expiration_date;uid;active;type_id;file_id;ad_organization_id
1;auxiliary program Rubber;2020-07-06;9135807e-c1a5-4e7c-9d8a-458759ef3375;true;1;1;1
2;Automotive Mexico card;2020-07-06;7552a172-326d-4a39-a0f2-8e63daf78f6a;false;2;2;2
3;Small Cambridgeshire XML;2020-07-06;a3dc86ac-4e85-4091-a35d-95d7f532c2d6;false;3;3;3
4;Practical Steel Chips Oklahoma Argentine Peso;2020-07-06;abaa717f-864d-4a41-80a3-a42f8bce15a0;true;4;4;4
5;Buckinghamshire open system;2020-07-06;dcc19620-ea18-4274-b636-72d227b8cf33;false;5;5;5
6;Tuvalu;2020-07-06;5728e161-fa9c-4f3f-953a-8ca2d86bfd93;true;6;6;6
7;auxiliary withdrawal Metal;2020-07-06;22b0f0d4-18fb-4683-8c56-ca24740a8c06;false;7;7;7
8;Gorgeous Cotton Bacon;2020-07-07;c9e045b2-50cb-43da-a5ba-2cf63eb37580;true;8;8;8
9;Light ADP Soap;2020-07-06;16830531-8130-41f5-abef-e5a5aca544b7;false;9;9;9
10;Credit Card Account;2020-07-06;1d088f3d-a855-4345-be66-7d7dd592477c;true;10;10;10
