id;start_date;end_date;uid;active;bidding_id;ad_organization_id;event_type_line_id
1;2021-02-11;2021-02-10;527530b2-6bca-4044-889a-1feb5c940a39;true;1;1;1
2;2021-02-10;2021-02-11;c8e1b8eb-0c38-47f0-afe4-db3e47919d1b;false;2;2;2
3;2021-02-11;2021-02-10;955b12a7-1985-4bc0-926e-6c65070914a0;true;3;3;3
4;2021-02-11;2021-02-11;e9d4ebdc-3dd8-4790-9a4d-5248dbd57607;false;4;4;4
5;2021-02-11;2021-02-10;2318c72d-c472-47e8-a2cc-277c4e809beb;false;5;5;5
6;2021-02-10;2021-02-11;94bb90ac-a535-4276-a643-39218359ca9b;true;6;6;6
7;2021-02-11;2021-02-11;29d92523-a016-4ce5-ba48-0138223823fc;false;7;7;7
8;2021-02-10;2021-02-10;d2284c84-6450-42b6-8017-190cd65fcc59;false;8;8;8
9;2021-02-11;2021-02-10;cdd07f83-fa9f-47ba-a996-fec904d64f34;true;9;9;9
10;2021-02-11;2021-02-11;b7e0dcc0-04d9-4a6b-8f97-69a2dd3b8315;true;10;10;10
