id;start_date;end_date;uid;active;prequalification_id;ad_organization_id;event_line_id
1;2021-07-15T22:35:09;2021-07-15T12:01:10;e05b6a00-f5ee-4cc6-bb15-5a022c81fad4;false;1;1;1
2;2021-07-15T19:04:22;2021-07-15T20:22:11;8edf0e3e-abcf-4d03-a52b-3dbb2b8a072b;false;2;2;2
3;2021-07-15T17:56:21;2021-07-15T23:30:22;72058d4b-8041-4294-8fe6-34e3434ee588;true;3;3;3
4;2021-07-15T20:38:33;2021-07-15T18:12:04;bbed41d4-04cb-4297-a87f-e9d78368e40c;true;4;4;4
5;2021-07-15T07:26:27;2021-07-15T06:05:13;f4d5768f-80d0-4ebe-bb2e-40d22eb2d077;false;5;5;5
6;2021-07-15T04:49:44;2021-07-15T04:22:45;9a445309-da43-4a5b-ba3d-47087d058d39;false;6;6;6
7;2021-07-15T16:58:00;2021-07-15T11:41:34;8d4fe736-02cf-4099-be42-7412aaa5083c;true;7;7;7
8;2021-07-15T20:37:23;2021-07-15T10:03:29;b1d7df48-b385-423d-a8cf-13bbca4108c0;true;8;8;8
9;2021-07-15T10:23:45;2021-07-15T05:28:48;86e8554a-940a-44aa-be68-6d5f7e82645a;true;9;9;9
10;2021-07-15T04:58:57;2021-07-16T03:14:54;6109c0ac-5e40-48c3-a752-439ec4bb485f;true;10;10;10
