id;status;evaluation_status;uid;active;ad_organization_id;bidding_evaluation_id
1;Louisiana Fantastic Frozen Fish Accountability;Cotton Representative;0c4371ba-2052-4abd-8f55-e5dcac1f96d9;true;1;1
2;Chief;Pass;047bf483-f239-4bd2-911f-a099956db4dd;true;2;2
3;lavender hard drive;seize mission-critical generating;8be03505-5850-44d4-8b00-b5cf06479ce8;true;3;3
4;Planner;Shoes;25245efb-a4da-453f-9f84-20ae373ac4e3;false;4;4
5;Buckinghamshire Hawaii;Savings Account Cambridgeshire;4ffad996-205a-480d-b6a5-da2f13926f39;false;5;5
6;Director Communications;Bike Garden Technician;4f7cd030-086b-42df-a14d-ef3eecf753db;true;6;6
7;Berkshire CFA Franc BEAC Security;Branding Democratic People's Republic of Korea;e456a792-b384-45e7-baa5-82ed638ade4f;true;7;7
8;grey;Delaware;fb6af478-85d2-4407-bc64-58f0ef801cbb;true;8;8
9;Frozen networks Soft;Avon Auto Loan Account;158f5ad2-8a65-44cb-bc1f-d93983246e05;false;9;9
10;Fresh eyeballs;Massachusetts;b70e06ff-5f58-4a3b-8633-4337a197e899;true;10;10
