id;min_qty;max_qty;price;uid;active
1;55742;20765;72632;7dc97480-96b9-4f93-9aae-675f395e12c3;true
2;45799;51493;89058;62906164-a2c9-4272-bd1a-25738f4dfd1e;false
3;21941;33539;7310;6a06178e-f0a7-463b-bd6e-d7abf646317c;false
4;17049;95507;81404;915ff365-cb45-4ab6-86cb-4aca600744c3;false
5;55372;30287;16256;3b183281-73fb-4177-a917-9210edd8e342;true
6;65666;52779;28283;f9a20838-6a8a-4cb3-8da2-f8ac8f988c5b;false
7;92333;84901;74880;8e1fd401-498c-4338-892d-7733799f1373;false
8;38028;87937;92364;c9f0b622-1ce3-4c31-aa93-32b9ecbb0b49;false
9;36421;70252;187;671bd1aa-8b8d-4324-90c4-1e5b2254ff39;false
10;70641;47489;61371;9e03df65-9560-49aa-a395-9fc51d45e386;false
