id;name;description;uid;active;ad_organization_id
1;copying Practical;New Mexico Key navigate;db4a9745-ff73-4e9d-bf2f-5cda9347dd10;true;1
2;Antigua and Barbuda Decentrali;yellow;9f318836-33c2-4b33-bcd3-eb333a2efe4e;false;2
3;Outdoors portals online;neutral Robust;85e505da-d372-469e-b9b0-0520fe9f21a3;true;3
4;port;Industrial;52a5e52c-315f-46b3-9d64-554edede1d66;true;4
5;Directives;Bedfordshire;d107cfe5-5235-41e4-a925-b9efa4312bf6;false;5
6;Salad;Kids;87a06d96-3ddf-4cc7-a166-81e2c1259db8;false;6
7;Michigan Directives Fantastic;Montana engage;065f6b1b-c65d-4a21-b6ed-f72817003841;false;7
8;Brand;Manager Interactions multi-state;1b1ccd3d-5561-441f-a2b1-fbe1ba99094f;false;8
9;Dong;mission-critical alarm invoice;76bb7bd9-ea2d-465e-af02-8fd9e0bf0a28;false;9
10;Supervisor Chair USB;disintermediate;5b972751-2053-494d-8b21-8d4fdd9100cc;false;10
