id;uid;active;prequalification_id;ad_organization_id;event_id;method_id
1;461970ab-2736-43c1-8d3a-0d77dc80a86b;false;1;1;1;1
2;68da9571-51fa-472a-8fe6-7f93733f70d2;true;2;2;2;2
3;579558c0-bafd-467e-8177-0597530bd8a5;true;3;3;3;3
4;198da3d0-edb4-4c19-ab55-12d4393ccfe0;true;4;4;4;4
5;4a5c6381-b027-49f3-aae7-3ccdfb75d088;false;5;5;5;5
6;6f7aa145-d1dc-4499-90f4-212341d6b587;false;6;6;6;6
7;5ee701e0-c7c8-4b91-b81a-7df62b5fbd19;false;7;7;7;7
8;05095062-c57c-4f38-a2cc-611263410246;false;8;8;8;8
9;0b64ad20-27e5-4742-8b88-3039f5b82512;true;9;9;9;9
10;54e15962-992c-4f24-9352-6085dce98123;true;10;10;10;10
