id;action;date_trx;username;price;note;auction_id
1;firewall;2021-08-06T21:26:19;mesh compressing;55253;Ergonomic Concrete Shoes Money Market Account Money Market Account;1
2;Canadian D;2021-08-06T23:02:27;Credit Card Account Grocery;47631;payment best-of-breed Vista;2
3;quantify A;2021-08-07T02:21:59;Licensed;95894;Mouse hard drive;3
4;Factors Ge;2021-08-06T22:06:21;next generation Ramp Beauty;62647;Beauty Organized;4
5;New York;2021-08-06T21:45:01;vortals Brazilian Real monetize;65840;online Martinique Maryland;5
6;Ball;2021-08-06T13:37:36;green Coordinator stable;52840;navigate;6
7;Lempira us;2021-08-06T16:39:23;backing up Home Adaptive;42444;Berkshire;7
8;Agent PNG ;2021-08-06T17:43:28;knowledge user capacitor;20115;Clothing HTTP;8
9;Gorgeous;2021-08-07T04:38:52;innovative Tactics;61591;RSS;9
10;neural Swe;2021-08-07T02:14:34;Tasty;92022;disintermediate Decentralized efficient;10
