id;uid;active;name;bidding_id;ad_organization_id;attachment_id
1;e22ed881-96fd-4cf6-bfe1-f3138400f016;false;override Cross-group International;1;1;1
2;c96da62c-c315-490b-b415-90a48648b3c0;false;neural bifurcated;2;2;2
3;6093aef0-6445-40ec-b840-bdef83316c94;true;Multi-layered;3;3;3
4;acb3e531-31ff-4ea8-8a69-7975ed0bece5;false;Music;4;4;4
5;47e07cc7-0650-4ea7-a215-76b69284e878;false;Granite;5;5;5
6;4ec52a1e-cd05-4dda-a400-8992822d08fe;true;auxiliary Unbranded Steel Pants;6;6;6
7;17f9a77e-50d8-4961-a6fb-23cd6246ab6c;false;Arizona;7;7;7
8;469cad5b-df88-49fe-98b2-f75b1b95ec06;false;Granite HDD Handmade Soft Table;8;8;8
9;1b49ad82-a89b-4334-8066-003931203d28;false;Dynamic methodology;9;9;9
10;dcad9afc-5605-4b49-94e9-d47c033345d4;true;Via Mouse Licensed;10;10;10
