id;weight;uid;active;ad_organization_id;bidding_criteria_id
1;21993;347f0db8-878e-4ba5-92d4-38f4cb0f79ff;true;1;1
2;50437;e25a9a7a-6466-4d42-8e35-09d50b99f627;false;2;2
3;1633;e3b7fffe-7ef8-4d3b-af8e-bcda878b912f;true;3;3
4;92248;6bb6dfd9-ff2b-46a2-8b91-a2b28da202ac;false;4;4
5;55108;721d864c-1b5e-4ac1-8a1e-4b336a1758d9;true;5;5
6;1276;db3290f9-ac0e-43a1-977f-635d38471a05;true;6;6
7;81981;44fdf4c1-9bf4-4f86-acec-47997037dd87;true;7;7
8;34491;e3c790cd-4469-448a-aa71-f8f8b55780c1;false;8;8
9;77128;0cdcc013-e494-4732-a576-a0633788600a;false;9;9
10;7572;6aec50f3-d619-47a1-95c3-f98488598d53;false;10;10
