id;e_invoice;taxable_employers;rate;uid;active;vendor_id;tax_category_id;ad_organization_id
1;true;false;18658;a0d228af-9928-4684-a94f-05ae45a54975;false;1;1;1
2;true;true;39989;348c7448-8eae-453e-af8a-9fba2473062b;false;2;2;2
3;true;true;90014;9d30ad4c-0006-4ea0-817b-6be11681675d;true;3;3;3
4;true;true;25826;4fad4ce5-e472-4cb9-9b0f-aa88d5ba7510;true;4;4;4
5;true;true;24162;409028fe-b943-4f04-ac9b-a38a105338af;true;5;5;5
6;true;true;84651;54a60552-6325-489a-8c1d-b947fc68c5ee;true;6;6;6
7;false;true;65372;57184b2f-5d78-49be-9946-b98d8eac0ae7;false;7;7;7
8;false;false;37282;25aec398-b897-4a96-b82e-f130638ea559;true;8;8;8
9;true;false;27653;b646bda0-96d5-4de9-94d1-7ea82edb8ed3;false;9;9;9
10;true;false;42746;c6ced2a2-a3fc-4971-bf4c-dab8d0bba2f5;true;10;10;10
